endTime,artistName,trackName,msPlayed
2021-08-30 04:15,Kanye West,Lord I Need You,162108
2021-08-30 04:21,Kanye West,Pure Souls,358621
2021-08-30 04:26,Kanye West,Come to Life,310393
2021-08-30 04:29,Kanye West,No Child Left Behind,178061
2021-08-30 04:34,Kanye West,Jail pt 2,297000
2021-08-30 04:37,Kanye West,Ok Ok pt 2,204629
2021-08-30 04:40,Kanye West,Junya pt 2,182635
2021-08-30 04:52,Kanye West,Jesus Lord pt 2,690731
2021-08-30 04:55,Kanye West,Waves,181573
2021-08-30 04:59,JAY-Z,Ni**as In Paris,219333
2021-08-30 05:02,Frank Ocean,Godspeed,177922
2021-08-30 05:05,Meek Mill,Going Bad (feat. Drake),180522
2021-08-30 05:08,Kendrick Lamar,DNA.,185946
2021-08-30 05:10,Kanye West,Follow God,104591
2021-08-30 05:13,Aminé,Caroline,209640
2021-08-30 05:17,J. Cole,Work Out,235320
2021-08-30 05:21,Frank Ocean,Ivy,249191
2021-08-30 05:24,Metro Boomin,Overdue (with Travis Scott),166093
2021-08-30 05:27,Kendrick Lamar,HUMBLE.,177000
2021-08-30 05:30,Kanye West,Violent Crimes,215320
2021-08-30 05:33,Mac Miller,Come Back to Earth,161840
2021-08-30 05:37,JAY-Z,Numb / Encore,205733
2021-08-30 05:40,Kid Cudi,Tequila Shots,193293
2021-08-30 05:44,T.I.,Whatever You Like,249533
2021-08-30 05:48,Kendrick Lamar,LOVE. FEAT. ZACARI.,213400
2021-08-30 05:51,Kanye West,Heartless,211000
2021-08-30 05:54,Childish Gambino,Bonfire,192946
2021-08-30 05:59,JAY-Z,Run This Town,267520
2021-08-30 06:02,B.o.B,Airplanes (feat. Hayley Williams of Paramore),180480
2021-08-30 06:07,Jaden,BYE,296048
2021-08-30 06:11,Big Sean,Beware,235186
2021-08-30 06:15,Kanye West,Flashing Lights,237506
2021-08-30 06:18,Kendrick Lamar,ELEMENT.,208733
2021-08-30 06:22,Childish Gambino,Sober,252026
2021-08-30 06:27,Kid Cudi,Pursuit Of Happiness (Nightmare),295293
2021-08-30 06:32,JAY-Z,Empire State Of Mind,276920
2021-08-30 06:36,Young Thug,pick up the phone,252256
2021-08-30 06:39,Kanye West,Homecoming,203493
2021-08-30 06:43,French Montana,Unforgettable,233901
2021-08-30 06:47,Lupe Fiasco,The Show Goes On,239613
2021-08-30 06:52,J. Cole,Crooked Smile (feat. TLC),278573
2021-08-30 06:56,Jaden,Icon,220995
2021-08-30 07:00,Kanye West,Love Lockdown,270306
2021-08-30 07:03,A$AP Rocky,Sundress,158205
2021-08-30 07:06,Kid Cudi,Erase Me - Main,192253
2021-08-30 07:09,Meek Mill,R.I.C.O. (feat. Drake),197133
2021-08-30 07:12,J. Cole,a m a r i,148421
2021-08-30 07:15,Kanye West,Black Skinhead,188013
2021-08-30 07:19,Childish Gambino,This Is America,225773
2021-08-30 07:23,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",233786
2021-08-30 07:27,Jaden,Summertime In Paris,270960
2021-08-30 07:32,Lil Wayne,Right Above It,271946
2021-08-30 07:35,Kanye West,Good Morning,195093
2021-08-30 07:38,Rae Sremmurd,This Could Be Us,206306
2021-08-30 07:44,KIDS SEE GHOSTS,Reborn,324674
2021-08-30 07:49,J. Cole,G.O.M.D.,301133
2021-08-30 07:51,Aminé,REEL IT IN,121346
2021-08-30 07:53,Kanye West,Father Stretch My Hands Pt. 1,135920
2021-08-30 07:57,Kanye West,Good Life,207000
2021-08-30 08:02,Kid Cudi,Mr. Rager,294226
2021-08-30 08:05,Frank Ocean,Chanel,210285
2021-08-30 08:09,J. Cole,m y . l i f e (with 21 Savage & Morray),218801
2021-08-30 08:10,PARTYNEXTDOOR,Break from Toronto,99213
2021-08-30 08:15,Kanye West,Real Friends,251573
2021-08-30 08:18,Miguel,Sure Thing,195373
2021-08-30 08:22,Kendrick Lamar,All The Stars (with SZA),232186
2021-08-30 08:26,Frank Ocean,Self Control,249667
2021-08-30 08:30,J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),218210
2021-08-30 08:32,Kanye West,Champion,167600
2021-08-30 08:36,Mac Miller,Blue World,209440
2021-08-30 08:38,"Tyler, The Creator",BEST INTEREST,127921
2021-08-30 08:41,Isaiah Rashad,RIP Young,158050
2021-08-30 08:44,BROCKHAMPTON,SUGAR,204533
2021-08-30 08:46,Kanye West,I Love It (& Lil Pump),127946
2021-08-30 08:50,J. Cole,MIDDLE CHILD,213593
2021-08-30 08:53,Mac Miller,The Spins,195873
2021-08-30 08:56,"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),146419
2021-08-30 08:59,Bas,The Jackie (with J. Cole & Lil Tjay),204434
2021-08-30 09:03,Kanye West,All Falls Down,223506
2021-08-30 09:05,Vince Staples,ARE YOU WITH THAT?,138410
2021-08-30 09:09,J. Cole,Love Yourz,211680
2021-08-30 09:14,Mac Miller,Good News,342040
2021-08-30 09:17,"Tyler, The Creator",CORSO,146481
2021-08-30 09:19,Kanye West,All Mine,145506
2021-08-30 09:22,Young Thug,Bad Bad Bad (feat. Lil Baby),149040
2021-08-30 09:25,Baby Keem,durag activity (with Travis Scott),225020
2021-08-30 09:30,J. Cole,No Role Modelz,292986
2021-08-30 09:32,Miguel,Girl With The Tattoo Enter.lewd,102813
2021-08-30 09:36,Kanye West,Bound 2,229146
2021-08-30 09:39,"Tyler, The Creator",See You Again (feat. Kali Uchis),180386
